ticker,company_name,sector,country,is_large_cap_benchmark,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,stability_score,pref_balanced,pref_esg_first,pref_financial_first,pref_balanced_with_market,pref_esg_first_with_market,pref_financial_first_with_market,rank
NVDA,NVIDIA Corporation,Technology,US,True,67.00447506252576,84.89374193429475,61.57577624198602,82.83043720949244,68.75970926456915,29.640304345641074,80.33318753209207,80.53061801907327,94.16359369761986,93.73131418172365,91.87190375088464,93.7547770700637,93.57643312101911,91.28343949044584,1
GOOGL,Alphabet Inc.,Communication Services,US,True,64.45927474058372,75.36957042597916,72.09284442033336,74.46027786632673,73.6834608983585,38.962562807248716,67.42990845851126,77.19402173709798,90.08716057660075,89.6464318211361,88.49256900212315,90.42356687898089,89.78980891719746,89.3248407643312,2
MSFT,Microsoft Corporation,Technology,US,True,68.13146743073958,81.53767207915502,70.4406904148586,77.27476241264343,58.68334159915014,48.08483588191374,69.56187478820974,59.524340894729136,88.87361716392893,91.67424931756142,86.70912951167726,89.20700636942675,91.7515923566879,87.59235668789809,3
AVGO,Broadcom Inc.,Technology,US,True,65.64458904000155,79.7822803818087,63.763960338542596,78.88932121077815,65.88571360191892,26.779701934268815,71.09623329880428,57.24275521573434,87.90144150184378,88.70889119979205,85.79440905874027,87.9968152866242,88.73089171974522,86.19585987261146,4
AAPL,Apple Inc.,Technology,US,True,68.67377028234378,73.91686952992326,71.99996086641185,76.5476244945673,66.68827095209647,32.89628097474211,65.24467421703821,52.44368893980456,86.65437479047938,90.64409203171715,83.23071479122436,87.14649681528661,90.7611464968153,84.55732484076435,5
CTRA,Coterra Energy Inc.,Energy,US,False,61.50787368452911,73.74280231697563,73.10764050342004,76.4515645047378,60.02773711146105,37.54456686872247,69.96762472210547,69.48601490321346,85.07542742205834,84.57851293383598,83.84111818825195,85.69426751592356,84.8359872611465,85.20222929936307,6
JNJ,Johnson & Johnson,Healthcare,US,True,64.72241701973229,74.59061932512908,77.64485345687683,78.07454258397672,71.68919163247125,46.183067460453785,64.8587040754687,44.07141801780231,84.94133422728795,86.5299623033927,84.05874026893134,85.67834394904459,86.79299363057325,85.62101910828027,7
INCY,Incyte Corporation,Healthcare,US,False,56.09858079462015,70.90562262653606,54.04425945645757,65.1548513532324,58.56591381741113,68.58883478593789,74.90869372702865,78.74193579461031,84.9145155883339,79.8258156765891,87.23283793347487,84.21974522292994,79.64968152866243,85.61146496815286,8
LLY,Eli Lilly and Company,Healthcare,US,True,67.2128868933495,79.99666987050308,64.4001861741117,77.39123778505939,57.438193983586075,25.713396286591994,81.84355968404694,28.09356930845638,82.73550117331546,86.2569868711816,79.70629865534325,83.12101910828027,86.3407643312102,80.78025477707007,9
GGG,Graco Inc.,Industrials,US,False,64.64032585041647,72.04003172861535,49.245341991159165,73.72888232394027,54.97334043867784,48.77930938492789,55.630076212393305,86.21250407544633,81.23365739188736,85.54855063044327,78.55980184005662,79.81528662420382,84.89490445859873,75.99044585987261,10
