var1,var2,n,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_r,spearman_p,spearman_ci_lo,spearman_ci_hi,kendall_tau,kendall_p,sig_pearson,sig_spearman
ESG_composite,E_score,269,-0.5420221306819007,6.071527826467149e-22,-0.6213417515166514,-0.45170591347336614,-0.5346688881128528,2.7255155746110847e-21,-0.6149440406137617,-0.44342596210555835,-0.36917302513797934,2.041088711372391e-19,True,True
ESG_composite,S_score,276,0.5661427904578697,8.607516455812787e-25,0.4801701389108143,0.6413420668017673,0.6029286111784935,1.0421492362154685e-28,0.5220206948490597,0.6730828277047839,0.44795783926218713,1.361388007379013e-28,True,True
ESG_composite,G_score,276,0.3011787494048755,3.401015074158397e-07,0.1898610515871627,0.4048514081590581,0.30280675218675535,2.9177731320818675e-07,0.19158726466975123,0.4063480823669409,0.20938076416337287,2.1618697514494226e-07,True,True
ESG_composite,financial_score,276,0.7378072291481942,1.1083454485380781e-48,0.6788765638518895,0.7872934535436616,0.7417059596323812,1.924788195317945e-49,0.6834919784188315,0.7905450284718822,0.5623426986931233,4.692772487617291e-44,True,True
ESG_composite,market_score,276,0.07750201510845625,0.19926507841942376,-0.040941767380187,0.19379779065600725,0.09974309522347705,0.09819611278477997,-0.018544435738371313,0.21527700887148285,0.07198302836329597,0.07474530648557862,False,False
ESG_composite,operational_score,276,0.4711657091926236,1.1710316378143472e-16,0.3738964781672718,0.5581830539561922,0.46600335273355387,2.7672514486434127e-16,0.36819238339385973,0.5536123987022505,0.3213273887868697,1.7936983102828873e-15,True,True
ESG_composite,pref_balanced,276,0.8025724010159514,2.0206859893542934e-63,0.7561558587684502,0.840953591986816,0.8102782223824261,1.535957544779741e-65,0.7654376212103475,0.8472882661828938,0.6061476436315778,6.34231532265792e-51,True,True
ESG_composite,pref_esg_first,276,0.965062811791948,2.0941990202965884e-161,0.9559145267910587,0.9723395604999627,0.9679936073971547,1.5680745500128064e-166,0.9595969709094869,0.9746677965999994,0.8416337285902504,1.8319673627611832e-96,True,True
ESG_composite,pref_financial_first,276,0.6492241733652407,2.01614093041243e-34,0.5752498554493399,0.7126651499363943,0.651532834529378,9.847989704322362e-35,0.5779207827044557,0.7146285177830753,0.4656169718253863,9.398348082101756e-31,True,True
ESG_composite,risk_adjusted_score,276,0.03968730133330237,0.5114372783267652,-0.07875085390868468,0.15702066763479372,0.042281698004387566,0.48420134067128595,-0.07616768445137492,0.1595543176241313,0.031181223930347543,0.44015726600344396,False,False
ESG_composite,value_score,276,-0.12115634708312537,0.04431705014997458,-0.23585167091435913,-0.00313200902485821,-0.11747814369120471,0.05122479175428881,-0.23232481316579381,0.0005993099655612974,-0.0795213462365668,0.048993992122109524,True,False
ESG_composite,growth_score,276,-0.02527301765894901,0.6759265434063924,-0.14291570332091227,0.09307385221911238,-0.033030043762195316,0.5847944438728758,-0.1505122127881415,0.08537203346219836,-0.020532690990482445,0.6112354083998421,False,False
ESG_composite,stability_score,276,0.2510909540401632,2.439662107726849e-05,0.1370858737317507,0.3585310500070005,0.2537232928413076,1.9896269991669566e-05,0.13984342624634152,0.3609786360139987,0.17925909040599633,9.089631197404466e-06,True,True
E_score,S_score,269,-0.2448953491825409,4.910025468671794e-05,-0.35412142351467646,-0.12907798282095478,-0.2532545891476163,2.6332790935215026e-05,-0.36189129196911135,-0.1378313979910971,-0.17008408036534536,3.302528948639859e-05,True,True
E_score,G_score,269,-0.04543819432584152,0.4579935711440292,-0.16414411205215274,0.07456494334055734,-0.05406849242026249,0.37707100702466523,-0.17255062566277396,0.06595593867477206,-0.035561519579817395,0.3853881922716188,False,False
E_score,financial_score,269,-0.6708521402813362,1.561811481358701e-36,-0.7317406664385958,-0.5993408417166156,-0.6685124358555236,3.3461884966409935e-36,-0.7297637780383248,-0.5966155315444317,-0.47946930070975663,1.226891570313402e-31,True,True
