ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,financial_score
TROW,"T. Rowe Price Group, Inc.",Financial Services,US,51.64743977064488,78.93074407178968,49.40294567641139,66.0932949791903,50.614603052290455,73.95010058373232,34.485109049381535,78.93074407178968
NNN,"NNN REIT, Inc.",Real Estate,US,72.21096566260015,77.86068587740851,52.454366964106974,68.06068251301562,57.13125691175078,57.05631205802879,44.28331069160511,77.86068587740851
FTNT,"Fortinet, Inc.",Technology,US,54.00556063297397,75.57050040919823,63.2009247642422,67.68467738122848,48.00636718152285,33.61009119790826,52.3991311208849,75.57050040919823
EWBC,"East West Bancorp, Inc.",Financial Services,US,64.51790744089098,75.03917379152892,48.77216837446115,57.06436052627487,44.7501452011427,51.63734013304216,66.43145477201638,75.03917379152892
LAMR,Lamar Advertising Company,Real Estate,US,47.04983765720927,73.9585520137809,47.117034305142845,56.03553148982383,56.77048028231605,55.13932838885333,46.67843595429208,73.9585520137809
PB,"Prosperity Bancshares, Inc.",Financial Services,US,46.40438918802085,73.85889010246113,49.56146201521146,38.9476500591904,48.2531122910594,59.054066442262666,32.49132423847476,73.85889010246113
DECK,Deckers Outdoor Corporation,Consumer Cyclical,US,65.94397864243832,73.82000030907602,49.4910674486771,77.22019063413181,45.03912077554061,58.423870045167845,65.47589688761231,73.82000030907602
CTRA,Coterra Energy Inc.,Energy,US,61.50787368452911,73.74280231697563,73.10764050342004,76.4515645047378,60.02773711146105,37.54456686872247,69.96762472210547,73.74280231697563
HLNE,Hamilton Lane Incorporated,Financial Services,US,44.12236392847666,72.41621631060515,38.0610414884061,51.67901582573442,32.53979826009828,30.341920295165718,52.330505807573495,72.41621631060515
GGG,Graco Inc.,Industrials,US,64.64032585041647,72.04003172861535,49.245341991159165,73.72888232394027,54.97334043867784,48.77930938492789,55.630076212393305,72.04003172861535
CUBE,CubeSmart,Real Estate,US,62.46799784906919,71.86880985592052,51.00206086476063,64.27862054837765,50.47348405210451,45.7512640266215,33.598302446112726,71.86880985592052
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,Financial Services,India,53.76712647641984,71.49902370838143,44.90945023519661,48.394662995591695,55.221251809363366,36.41053281492101,77.8859583642179,71.49902370838143
GRMN,Garmin Ltd.,Technology,US,48.686099920959286,71.37798066465031,49.754182172218925,47.25005557065868,54.054081710457545,50.64502030558909,60.42946332154936,71.37798066465031
INCY,Incyte Corporation,Healthcare,US,56.09858079462015,70.90562262653606,54.04425945645757,65.1548513532324,58.56591381741113,68.58883478593789,74.90869372702865,70.90562262653606
COLPAL.NS,COLGATE PALMOLIVE LTD.,Consumer Defensive,India,60.28856738435108,70.68377943021113,43.47827902540599,49.92455797759508,48.459025106644425,29.006998008536662,29.479170276657097,70.68377943021113
SM,SM Energy Company,Energy,US,71.39051845771131,70.51098067563841,55.07883096458954,54.769542267777446,38.02962081770335,72.11383532777472,36.32018200225173,70.51098067563841
LULU,lululemon athletica inc.,Consumer Cyclical,US,55.77090821190529,70.39556515128723,51.458898983011125,70.6575416821255,37.78845064998723,67.50579976261358,39.56407801951305,70.39556515128723
CDNS,"Cadence Design Systems, Inc.",Technology,US,57.22893206747578,69.87144290405946,51.557521174508544,68.42127478050425,58.18642551380641,24.79595500947108,42.59245423785926,69.87144290405946
VEEV,Veeva Systems Inc.,Healthcare,US,60.07658977997681,69.64359126425697,46.703931880301326,71.36611788331656,42.65595820692358,38.27220147009002,62.33303777684469,69.64359126425697
