ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,ESG_composite
FIX,"Comfort Systems USA, Inc.",Industrials,US,28.476167361973573,53.20544194653344,45.97732451499261,56.86096737828808,58.4780272007353,28.83511938369584,67.4361149636153,28.476167361973573
MTZ,"MasTec, Inc.",Industrials,US,28.944862908230725,30.230219657045765,50.38793288810824,33.48011486470794,58.15037704163806,44.88329691415193,68.99682011044098,28.944862908230725
CFLT,"Confluent, Inc.",Technology,US,29.26067685303787,22.347416676557938,58.18251543511093,35.98993401044645,44.17148586793049,43.101171335287,38.21249872771919,29.26067685303787
SHAK,"Shake Shack, Inc.",Consumer Cyclical,US,29.654055096519254,29.559326479199854,41.57441242402911,29.16231109468271,47.939566343278166,29.131653754838457,62.6211628551882,29.654055096519254
HLX,"Helix Energy Solutions Group, I",Energy,US,31.46684989950169,30.07782842096031,47.19612894569149,31.528764497483635,42.20065150668395,50.99955821730289,34.04384953673604,31.46684989950169
PNW,Pinnacle West Capital Corporati,Utilities,US,31.572061456855728,45.6816308779297,57.50321888460879,32.08012873106822,59.44688608178216,63.201108245123166,43.35756138403616,31.572061456855728
PCVX,"Vaxcyte, Inc.",Healthcare,US,31.83552714260404,25.632952707069773,41.92869642353686,26.951983145147484,41.34855262557256,65.68331422143748,39.67381547899402,31.83552714260404
CWAN,"Clearwater Analytics Holdings, ",Technology,US,31.979038444875027,26.536428547096797,60.24186539447361,39.63646820482778,49.746414716330094,38.634457135450816,56.94678175772198,31.979038444875027
RVMD,"Revolution Medicines, Inc.",Healthcare,US,32.094696853878204,29.97312474301844,51.909188076737166,28.650704149792357,54.224252730630745,61.40634482545681,35.98547655574986,32.094696853878204
DEEPAKNTR.NS,DEEPAK NITRITE LTD,Basic Materials,India,32.23684910046424,33.83317929507297,40.41229279002934,41.18869394318632,40.85870566495362,34.199916905335925,55.67575283226223,32.23684910046424
ROAD,"Construction Partners, Inc.",Industrials,US,32.44070374276404,29.188418341941706,39.449715009657936,43.00991875402456,49.89536689719525,53.718780600468456,66.61222488191706,32.44070374276404
FROG,JFrog Ltd.,Technology,US,33.01967826758428,24.42532935862024,43.28254415826618,38.76493671230552,39.876862442569504,42.09426642497135,46.34012064520653,33.01967826758428
DY,"Dycom Industries, Inc.",Industrials,US,33.037025211504854,35.545805549311005,43.55437478460416,36.15961181026489,55.40029040403514,63.706772272644045,45.15279805318339,33.037025211504854
NEOG,Neogen Corporation,Healthcare,US,33.72359736530418,20.96411311748668,45.50195545159672,22.94498368109152,39.43660149921869,53.041385689609726,30.287938104598243,33.72359736530418
GODREJPROP.NS,GODREJ PROPERTIES LTD,Real Estate,India,33.79565282360552,32.21202927186428,41.98133802178288,31.05531765657412,53.056713590303325,47.95076209526052,63.15152629494963,33.79565282360552
WOR,"Worthington Enterprises, Inc.",Industrials,US,33.81976259470777,37.122829834874345,39.72187670064132,24.46294642203449,35.66099552652699,57.54157863733628,48.53012440071422,33.81976259470777
BIKAJI.NS,BIKAJI FOODS INTERN LTD,Consumer Defensive,India,33.974474085814734,37.35346369044424,40.27807677041095,28.146387777705662,53.18960076645252,30.694585176776435,71.83089644599603,33.974474085814734
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,US,33.995676746633364,20.89390066153845,33.06869307256241,30.48914898206764,30.83005692574176,71.82505283631224,31.05478094659381,33.995676746633364
GALAXYSURF.NS,GALAXY SURFACTANTS LTD,Basic Materials,India,34.273736680419475,44.5409766532468,35.189630898811934,34.7626247384191,47.67701526431591,55.43309847431295,54.20316149390282,34.273736680419475
