ticker,scope1_emissions,scope2_emissions,scope3_emissions,emissions_intensity,renewable_energy_pct,energy_efficiency,water_usage_intensity,waste_recycling_pct,carbon_reduction_target,environmental_fines,employee_turnover,gender_diversity_pct,women_management_pct,pay_gap_ratio,injury_rate,safety_training_hours,employee_satisfaction,community_investment_pct,supply_chain_audit_pct,human_rights_policy,board_independence_pct,board_diversity_pct,board_size,exec_comp_esg_linked,ceo_pay_ratio,shareholder_rights_score,ethics_compliance_score,anti_corruption_policy,data_privacy_score,tax_transparency_score,esg_controversy_score,esg_risk_rating
ZS,38.96504745902777,,,,40.759560012995095,,,59.286757981927224,1.0,,,29.180061282412517,,,,37.56823844323435,38.77238098465122,66.23499472692092,47.70725925134466,0.0,20.0,39.47831515835203,40.0,40.0,,20.0,90.0,,60.0,55.0,90.0,40.0
OKTA,52.06905360143228,,,,48.8652091244029,,,62.760607601101995,0.0,,,43.07545975911162,,,,44.11722446518838,47.06281696644884,55.81310082233545,34.96981064770382,0.0,20.0,49.19063962756554,40.0,60.0,,0.0,90.0,,30.0,40.0,90.0,20.0
CRWD,41.26399590506366,,,,26.864161536296002,,,56.97085823581071,1.0,,,33.81186077464555,,,,41.49763005640677,44.694120971649525,63.91901830367971,43.075459759111624,1.0,10.0,49.19063962756554,40.0,0.0,,0.0,0.0,,30.0,90.0,90.0,0.0
FTNT,74.82864321718745,,,,37.285710393820324,,,68.55035696639328,1.0,,,67.39240709333504,,,,63.10928392885508,45.87846896904918,46.54919512937059,30.338011155470788,0.0,30.0,48.381279255131076,40.0,30.0,,50.0,90.0,,80.0,90.0,90.0,50.0
QLYS,77.35748650782693,,,,51.18110887051942,,,69.70830683945154,0.0,,,69.70830683945155,,,,50.666210487142415,29.29759700545393,69.70895936178273,33.81186077464557,0.0,70.0,43.52511702052432,40.0,70.0,,20.0,90.0,,30.0,90.0,67.5,60.0
VRNS,41.03410106046007,,,,52.339058743577674,,,67.39240709333502,0.0,,,25.70621166323774,,,,27.089860808107893,25.744553013254954,67.39298293854152,50.023158997461174,0.0,40.0,41.09703590322094,40.0,60.0,,20.0,90.0,,30.0,84.2,72.5,50.0
ESTC,41.03410106046007,,,,60.44470785498548,,,58.12880810886896,0.0,,,32.653910901587295,,,,33.63884683006192,43.509772974249856,44.23321870612937,45.39135950522814,0.0,50.0,36.240873668614185,40.0,30.0,,80.0,90.0,,80.0,55.0,80.0,70.0
DOCN,49.7701051553964,,,,31.495961028529035,,,46.54930937828639,0.0,,,52.33905874357768,,,,36.91333984103894,50.61586095864782,32.6533365899233,24.548261790179495,0.0,10.0,29.765990689138512,40.0,30.0,,20.0,10.0,,80.0,90.0,50.0,20.0
PAYC,75.51832775099822,,,,59.286757981927224,,,74.34010633168457,1.0,,,63.91855747416027,,,,53.94070349811943,36.4036849898519,61.60304188043848,52.339058743577695,0.0,20.0,42.71575664808986,40.0,60.0,,50.0,90.0,,80.0,90.0,62.5,50.0
MANH,55.74737111508968,,,,39.60161013993684,,,44.233409632169874,0.0,,,61.60265772804374,,,,51.32110908933782,28.113249008054275,56.971089033956055,31.495961028529045,0.0,50.0,37.85959441348311,40.0,60.0,,50.0,90.0,,30.0,90.0,47.5,60.0
WK,49.54021031079281,,,,58.12880810886896,,,66.23445722027677,0.0,,,37.285710393820324,,,,34.293745432257325,31.666293000253255,36.12730122478512,36.12776052076208,0.0,30.0,41.9063962756554,40.0,70.0,,0.0,90.0,,30.0,89.7,47.5,20.0
GLOB,44.4825237295139,,,,73.18215645862631,,,31.495961028529035,0.0,,,56.97085823581071,,,,60.48968952007346,24.56020501585529,31.495348378302694,38.443660266878595,0.0,30.0,25.71918882696621,40.0,40.0,,60.0,90.0,,30.0,100.0,75.0,40.0
HUBS,56.666950493504025,,,,54.65495848969419,,,72.02420658556805,1.0,,,41.91750988605335,,,,45.42702166957919,35.219336992452234,41.917242282888154,40.75956001299511,1.0,80.0,30.57535106157297,40.0,70.0,,80.0,90.0,,30.0,83.0,90.0,90.0
ANSS,49.81743176856749,,,,50.0236992794642,,,50.0274184500031,1.0,,,50.02702075014408,,,,50.00000000000001,50.028268176690304,50.0,50.0,1.0,50.0,49.19063962756554,65.0,90.0,,50.0,60.0,,30.0,83.0,57.5,60.0
CDNS,78.50696073084487,,,,29.18006128241252,,,73.18215645862631,1.0,,,68.5503569663933,,,,63.10928392885508,39.956728982050876,54.65511261071484,60.444707854985495,1.0,50.0,49.19063962756554,40.0,10.0,,90.0,70.0,,30.0,89.9,87.5,60.0
NET,35.976414479181145,,,,24.548261790179488,,,55.81290836275245,1.0,,,28.02211140935426,,,,33.63884683006192,42.3254249768502,37.285289436405726,51.18110887051943,0.0,20.0,34.62215292374527,40.0,20.0,,0.0,90.0,,30.0,83.3,90.0,10.0
BILL,46.781472175549766,,,,67.39240709333502,,,70.8662567125098,0.0,,,30.338011155470777,,,,27.744759410303296,52.98455695344715,30.337360166682082,39.60161013993685,0.0,30.0,26.528549199400672,40.0,10.0,,20.0,90.0,,80.0,100.0,75.0,30.0
FROG,38.5052577698206,,,,30.338011155470777,,,61.60265772804374,0.0,,,26.864161536296,,,,24.470266399326277,30.481945002853593,62.761030092059094,54.65495848969421,0.0,20.0,31.38471143400743,40.0,0.0,,70.0,90.0,,80.0,86.679,70.0,30.0
